# plotfile = plt00400
# time = 1.386580665 s
# plane: z = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dy = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x y density B_x B_y B_z
3.3750000e+08 -9.0000000e+08 2.0008940e+04 4.5494801e-03 -6.7286753e-01 -4.1142791e+06
3.4687500e+08 -9.0000000e+08 2.0008762e+04 4.5565514e-03 -6.5457725e-01 -4.0752189e+06
3.5625000e+08 -9.0000000e+08 2.0008583e+04 4.5901058e-03 -6.3549451e-01 -4.0307409e+06
3.6562500e+08 -9.0000000e+08 2.0008405e+04 4.5334361e-03 -6.1652897e-01 -3.9863397e+06
3.7500000e+08 -9.0000000e+08 2.0008228e+04 4.4449259e-03 -5.9763070e-01 -3.9399866e+06
3.8437500e+08 -9.0000000e+08 2.0008051e+04 4.4341232e-03 -5.7897573e-01 -3.8944831e+06
3.9375000e+08 -9.0000000e+08 2.0007874e+04 3.8227270e-03 -5.5906758e-01 -3.8496125e+06
4.0312500e+08 -9.0000000e+08 2.0007699e+04 2.9268386e-03 -5.3909208e-01 -3.8045451e+06
4.1250000e+08 -9.0000000e+08 2.0007525e+04 2.5956958e-03 -5.2092082e-01 -3.7591471e+06
4.2187500e+08 -9.0000000e+08 2.0007352e+04 2.3828188e-03 -5.0251827e-01 -3.7140054e+06
4.3125000e+08 -9.0000000e+08 2.0007180e+04 2.1854400e-03 -4.8469829e-01 -3.6685667e+06
4.4062500e+08 -9.0000000e+08 2.0007011e+04 2.1097757e-03 -4.6751143e-01 -3.6232827e+06
4.5000000e+08 -9.0000000e+08 2.0006843e+04 1.3176716e-03 -4.5065435e-01 -3.5779280e+06
4.5937500e+08 -9.0000000e+08 2.0006676e+04 4.9790791e-04 -4.3458240e-01 -3.5323348e+06
4.6875000e+08 -9.0000000e+08 2.0006512e+04 7.8930112e-04 -4.1822213e-01 -3.4869965e+06
4.7812500e+08 -9.0000000e+08 2.0006350e+04 1.3195520e-03 -4.0221642e-01 -3.4420093e+06
4.8750000e+08 -9.0000000e+08 2.0006190e+04 1.3579964e-03 -3.8650017e-01 -3.3967889e+06
4.9687500e+08 -9.0000000e+08 2.0006033e+04 1.1579980e-03 -3.7127813e-01 -3.3520352e+06
5.0625000e+08 -9.0000000e+08 2.0005878e+04 1.2747265e-03 -3.5631575e-01 -3.3071228e+06
5.1562500e+08 -9.0000000e+08 2.0005725e+04 1.2977708e-03 -3.4147543e-01 -3.2614912e+06
5.2500000e+08 -9.0000000e+08 2.0005575e+04 1.1918563e-03 -3.2722631e-01 -3.2160149e+06
5.3437500e+08 -9.0000000e+08 2.0005427e+04 1.3100523e-03 -3.1313735e-01 -3.1713930e+06
5.4375000e+08 -9.0000000e+08 2.0005282e+04 1.2753682e-03 -2.9952500e-01 -3.1277227e+06
5.5312500e+08 -9.0000000e+08 2.0005140e+04 1.2366899e-03 -2.8650612e-01 -3.0857642e+06
5.6250000e+08 -9.0000000e+08 2.0005000e+04 1.3419374e-03 -2.7344816e-01 -3.0425247e+06
5.7187500e+08 -9.0000000e+08 2.0004863e+04 1.3958331e-03 -2.6065163e-01 -2.9974200e+06
5.8125000e+08 -9.0000000e+08 2.0004729e+04 1.3873270e-03 -2.4828783e-01 -2.9534896e+06
5.9062500e+08 -9.0000000e+08 2.0004598e+04 1.4303163e-03 -2.3647573e-01 -2.9120621e+06
6.0000000e+08 -9.0000000e+08 2.0004469e+04 1.4356312e-03 -2.2493076e-01 -2.8718627e+06
6.0937500e+08 -9.0000000e+08 2.0004343e+04 1.3793475e-03 -2.1361954e-01 -2.8284820e+06
6.1875000e+08 -9.0000000e+08 2.0004221e+04 1.4354227e-03 -2.0260719e-01 -2.7851628e+06
6.2812500e+08 -9.0000000e+08 2.0004100e+04 1.4990040e-03 -1.9213075e-01 -2.7475046e+06
6.3750000e+08 -9.0000000e+08 2.0003983e+04 1.5179107e-03 -1.8180407e-01 -2.7069829e+06
6.4687500e+08 -9.0000000e+08 2.0003869e+04 1.5293162e-03 -1.7161748e-01 -2.6629702e+06
6.5625000e+08 -9.0000000e+08 2.0003757e+04 1.5454608e-03 -1.6208686e-01 -2.6254180e+06
6.6562500e+08 -9.0000000e+08 2.0003648e+04 1.5587676e-03 -1.5282201e-01 -2.5879250e+06
6.7500000e+08 -9.0000000e+08 2.0003541e+04 1.6031055e-03 -1.4356461e-01 -2.5446041e+06
6.8437500e+08 -9.0000000e+08 2.0003438e+04 1.6340565e-03 -1.3494197e-01 -2.5098783e+06
6.9375000e+08 -9.0000000e+08 2.0003337e+04 1.6718962e-03 -1.2640718e-01 -2.4710002e+06
7.0312500e+08 -9.0000000e+08 2.0003239e+04 1.6848566e-03 -1.1823391e-01 -2.4308659e+06
7.1250000e+08 -9.0000000e+08 2.0003143e+04 1.6577393e-03 -1.1041469e-01 -2.3979381e+06
7.2187500e+08 -9.0000000e+08 2.0003050e+04 1.6667282e-03 -1.0261261e-01 -2.3576120e+06
7.3125000e+08 -9.0000000e+08 2.0002959e+04 1.6826348e-03 -9.5324024e-02 -2.3238659e+06
7.4062500e+08 -9.0000000e+08 2.0002871e+04 1.6920475e-03 -8.8142871e-02 -2.2872658e+06
7.5000000e+08 -9.0000000e+08 2.0002786e+04 1.7097998e-03 -8.1239215e-02 -2.2507784e+06
7.5937500e+08 -9.0000000e+08 2.0002702e+04 1.7410523e-03 -7.4613265e-02 -2.2182498e+06
7.6875000e+08 -9.0000000e+08 2.0002622e+04 1.7632511e-03 -6.8094457e-02 -2.1805800e+06
7.7812500e+08 -9.0000000e+08 2.0002543e+04 1.7825855e-03 -6.1988565e-02 -2.1506495e+06
7.8750000e+08 -9.0000000e+08 2.0002467e+04 1.7951887e-03 -5.5893626e-02 -2.1133309e+06
7.9687500e+08 -9.0000000e+08 2.0002393e+04 1.8123449e-03 -5.0200304e-02 -2.0844740e+06
8.0625000e+08 -9.0000000e+08 2.0002322e+04 1.8330059e-03 -4.4513426e-02 -2.0479615e+06
8.1562500e+08 -9.0000000e+08 2.0002253e+04 1.8500595e-03 -3.9188185e-02 -2.0198664e+06
