# plotfile = plt01550
# time = 5.370637752 s
# plane: y = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dz = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x z density B_x B_y B_z
2.2500000e+08 -9.0000000e+08 2.0030956e+04 -2.9971057e+06 -1.2953007e-01 7.8131130e+06
2.3437500e+08 -9.0000000e+08 2.0030517e+04 -3.0991786e+06 -1.2420784e-01 7.8356027e+06
2.4375000e+08 -9.0000000e+08 2.0030068e+04 -3.1346737e+06 -1.1780438e-01 7.5103283e+06
2.5312500e+08 -9.0000000e+08 2.0029612e+04 -3.2308699e+06 -1.2223485e-01 7.6272743e+06
2.6250000e+08 -9.0000000e+08 2.0029148e+04 -3.3088731e+06 -1.1590553e-01 7.3578797e+06
2.7187500e+08 -9.0000000e+08 2.0028678e+04 -3.3950726e+06 -1.1706151e-01 7.2279596e+06
2.8125000e+08 -9.0000000e+08 2.0028202e+04 -3.4766338e+06 -1.1065908e-01 7.2298157e+06
2.9062500e+08 -9.0000000e+08 2.0027720e+04 -3.5061145e+06 -1.0449223e-01 6.9438190e+06
3.0000000e+08 -9.0000000e+08 2.0027235e+04 -3.5852241e+06 -1.0952510e-01 6.9466713e+06
3.0937500e+08 -9.0000000e+08 2.0026746e+04 -3.6454805e+06 -1.0337538e-01 6.7697413e+06
3.1875000e+08 -9.0000000e+08 2.0026255e+04 -3.7022124e+06 -1.0247072e-01 6.5682635e+06
3.2812500e+08 -9.0000000e+08 2.0025761e+04 -3.7613677e+06 -9.7641031e-02 6.6047214e+06
3.3750000e+08 -9.0000000e+08 2.0025266e+04 -3.7698112e+06 -9.8212840e-02 6.3429769e+06
3.4687500e+08 -9.0000000e+08 2.0024771e+04 -3.8301767e+06 -9.5076483e-02 6.2392747e+06
3.5625000e+08 -9.0000000e+08 2.0024276e+04 -3.8820210e+06 -8.9641686e-02 6.1704100e+06
3.6562500e+08 -9.0000000e+08 2.0023781e+04 -3.8851029e+06 -8.6346159e-02 5.9397140e+06
3.7500000e+08 -9.0000000e+08 2.0023288e+04 -3.9336751e+06 -8.7757635e-02 5.8863453e+06
3.8437500e+08 -9.0000000e+08 2.0022796e+04 -3.9637853e+06 -8.2463251e-02 5.7492951e+06
3.9375000e+08 -9.0000000e+08 2.0022307e+04 -3.9669232e+06 -7.9143719e-02 5.5509406e+06
4.0312500e+08 -9.0000000e+08 2.0021821e+04 -4.0031106e+06 -7.6840239e-02 5.5124122e+06
4.1250000e+08 -9.0000000e+08 2.0021338e+04 -4.0185320e+06 -7.3969802e-02 5.3372032e+06
4.2187500e+08 -9.0000000e+08 2.0020859e+04 -4.0324764e+06 -7.2958163e-02 5.1747564e+06
4.3125000e+08 -9.0000000e+08 2.0020384e+04 -4.0549432e+06 -7.0579508e-02 5.1348550e+06
4.4062500e+08 -9.0000000e+08 2.0019914e+04 -4.0450296e+06 -6.6113081e-02 4.9470993e+06
4.5000000e+08 -9.0000000e+08 2.0019449e+04 -4.0557591e+06 -6.4181112e-02 4.8076789e+06
4.5937500e+08 -9.0000000e+08 2.0018989e+04 -4.0690615e+06 -6.2060294e-02 4.7536709e+06
4.6875000e+08 -9.0000000e+08 2.0018535e+04 -4.0492160e+06 -5.9135389e-02 4.5735058e+06
4.7812500e+08 -9.0000000e+08 2.0018087e+04 -4.0505554e+06 -5.6307095e-02 4.4446803e+06
4.8750000e+08 -9.0000000e+08 2.0017645e+04 -4.0561884e+06 -5.6051942e-02 4.3823789e+06
4.9687500e+08 -9.0000000e+08 2.0017210e+04 -4.0325254e+06 -5.1739017e-02 4.2193749e+06
5.0625000e+08 -9.0000000e+08 2.0016782e+04 -4.0228824e+06 -4.9801019e-02 4.0895051e+06
5.1562500e+08 -9.0000000e+08 2.0016361e+04 -4.0216201e+06 -4.8014077e-02 4.0244150e+06
5.2500000e+08 -9.0000000e+08 2.0015946e+04 -3.9961879e+06 -4.6468475e-02 3.8821078e+06
5.3437500e+08 -9.0000000e+08 2.0015539e+04 -3.9733695e+06 -4.3952967e-02 3.7485497e+06
5.4375000e+08 -9.0000000e+08 2.0015140e+04 -3.9664403e+06 -4.1892629e-02 3.6807661e+06
5.5312500e+08 -9.0000000e+08 2.0014748e+04 -3.9420677e+06 -4.0484747e-02 3.5599626e+06
5.6250000e+08 -9.0000000e+08 2.0014363e+04 -3.9052529e+06 -3.7971028e-02 3.4272278e+06
5.7187500e+08 -9.0000000e+08 2.0013987e+04 -3.8939966e+06 -3.6418595e-02 3.3500652e+06
5.8125000e+08 -9.0000000e+08 2.0013618e+04 -3.8740423e+06 -3.4400503e-02 3.2544531e+06
5.9062500e+08 -9.0000000e+08 2.0013257e+04 -3.8310524e+06 -3.2807678e-02 3.1265527e+06
6.0000000e+08 -9.0000000e+08 2.0012903e+04 -3.8121269e+06 -3.2032088e-02 3.0364866e+06
6.0937500e+08 -9.0000000e+08 2.0012558e+04 -3.7906297e+06 -3.1752598e-02 2.9633510e+06
6.1875000e+08 -9.0000000e+08 2.0012220e+04 -3.7470216e+06 -2.7730031e-02 2.8479496e+06
6.2812500e+08 -9.0000000e+08 2.0011891e+04 -3.7116708e+06 -2.6261589e-02 2.7473263e+06
6.3750000e+08 -9.0000000e+08 2.0011569e+04 -3.6877480e+06 -2.5646224e-02 2.6779642e+06
6.4687500e+08 -9.0000000e+08 2.0011254e+04 -3.6530620e+06 -2.3975850e-02 2.5869849e+06
6.5625000e+08 -9.0000000e+08 2.0010948e+04 -3.6074469e+06 -2.2723116e-02 2.4845783e+06
6.6562500e+08 -9.0000000e+08 2.0010649e+04 -3.5777007e+06 -2.1936315e-02 2.4059811e+06
6.7500000e+08 -9.0000000e+08 2.0010358e+04 -3.5478422e+06 -2.1833481e-02 2.3390884e+06
6.8437500e+08 -9.0000000e+08 2.0010074e+04 -3.5030882e+06 -1.9641204e-02 2.2473659e+06
6.9375000e+08 -9.0000000e+08 2.0009798e+04 -3.4597103e+06 -1.8136948e-02 2.1602882e+06
7.0312500e+08 -9.0000000e+08 2.0009529e+04 -3.4284384e+06 -1.7019726e-02 2.0932144e+06
7.1250000e+08 -9.0000000e+08 2.0009267e+04 -3.3931115e+06 -1.6547465e-02 2.0265074e+06
7.2187500e+08 -9.0000000e+08 2.0009012e+04 -3.3461153e+06 -1.5637698e-02 1.9437996e+06
7.3125000e+08 -9.0000000e+08 2.0008765e+04 -3.3035854e+06 -1.4028342e-02 1.8686765e+06
7.4062500e+08 -9.0000000e+08 2.0008524e+04 -3.2693245e+06 -1.4049100e-02 1.8081395e+06
7.5000000e+08 -9.0000000e+08 2.0008291e+04 -3.2310181e+06 -1.2534959e-02 1.7444378e+06
7.5937500e+08 -9.0000000e+08 2.0008063e+04 -3.1847418e+06 -1.1745065e-02 1.6727024e+06
7.6875000e+08 -9.0000000e+08 2.0007843e+04 -3.1419497e+06 -1.0908595e-02 1.6061531e+06
7.7812500e+08 -9.0000000e+08 2.0007629e+04 -3.1055303e+06 -1.0480220e-02 1.5500004e+06
7.8750000e+08 -9.0000000e+08 2.0007422e+04 -3.0663714e+06 -9.2863098e-03 1.4934026e+06
7.9687500e+08 -9.0000000e+08 2.0007223e+04 -3.0212565e+06 -8.7024092e-03 1.4308688e+06
8.0625000e+08 -9.0000000e+08 2.0007029e+04 -2.9779381e+06 -8.0604799e-03 1.3715997e+06
8.1562500e+08 -9.0000000e+08 2.0006834e+04 -2.9395490e+06 -7.3997264e-03 1.3194591e+06
8.2500000e+08 -9.0000000e+08 2.0006635e+04 -2.9008427e+06 -6.8110161e-03 1.2693225e+06
8.3437500e+08 -9.0000000e+08 2.0006443e+04 -2.8578587e+06 -6.2799356e-03 1.2157917e+06
8.4375000e+08 -9.0000000e+08 2.0006301e+04 -2.8152687e+06 -5.8298022e-03 1.1636980e+06
8.5312500e+08 -9.0000000e+08 2.0006264e+04 -2.7751741e+06 -5.2307760e-03 1.1150751e+06
8.6250000e+08 -9.0000000e+08 2.0006271e+04 -2.7364416e+06 -4.8302556e-03 1.0703729e+06
8.7187500e+08 -9.0000000e+08 2.0006699e+04 -2.6960729e+06 -4.4102151e-03 1.0251411e+06
8.8125000e+08 -9.0000000e+08 2.0007616e+04 -2.6549652e+06 -3.6839493e-03 9.7724768e+05
8.9062500e+08 -9.0000000e+08 2.0008255e+04 -2.6144516e+06 -5.4238569e-04 9.3421417e+05
-9.0000000e+08 -8.9062500e+08 2.0007503e+04 2.6079243e+06 -5.0395930e-03 8.8076241e+05
-8.9062500e+08 -8.9062500e+08 2.0006852e+04 2.6478315e+06 -2.8204526e-02 9.2130729e+05
-8.8125000e+08 -8.9062500e+08 2.0005899e+04 2.6883067e+06 -3.6289416e-02 9.6705547e+05
-8.7187500e+08 -8.9062500e+08 2.0005402e+04 2.7301201e+06 -4.2747997e-02 1.0123330e+06
-8.6250000e+08 -8.9062500e+08 2.0005348e+04 2.7724136e+06 -5.0178674e-02 1.0591564e+06
-8.5312500e+08 -8.9062500e+08 2.0005357e+04 2.8136492e+06 -5.8325037e-02 1.1066145e+06
-8.4375000e+08 -8.9062500e+08 2.0005449e+04 2.8535538e+06 -6.5940056e-02 1.1541367e+06
-8.3437500e+08 -8.9062500e+08 2.0005587e+04 2.8953771e+06 -7.4445165e-02 1.2045457e+06
-8.2500000e+08 -8.9062500e+08 2.0005732e+04 2.9395012e+06 -9.1619775e-02 1.2587919e+06
-8.1562500e+08 -8.9062500e+08 2.0005873e+04 2.9830782e+06 -1.0091620e-01 1.3147792e+06
-8.0625000e+08 -8.9062500e+08 2.0006012e+04 3.0222543e+06 -1.0438677e-01 1.3674894e+06
-7.9687500e+08 -8.9062500e+08 2.0006155e+04 3.0625063e+06 -1.0796878e-01 1.4219299e+06
-7.8750000e+08 -8.9062500e+08 2.0006304e+04 3.1080929e+06 -1.5029789e-01 1.4840359e+06
-7.7812500e+08 -8.9062500e+08 2.0006458e+04 3.1533975e+06 -5.0742046e-02 1.5492446e+06
-7.6875000e+08 -8.9062500e+08 2.0006617e+04 3.1920060e+06 -1.2408395e-01 1.6080929e+06
-7.5937500e+08 -8.9062500e+08 2.0006780e+04 3.2305782e+06 -1.0912544e-01 1.6674792e+06
-7.5000000e+08 -8.9062500e+08 2.0006949e+04 3.2764606e+06 -1.3496190e-01 1.7376319e+06
-7.4062500e+08 -8.9062500e+08 2.0007123e+04 3.3225815e+06 -5.2307303e-02 1.8128081e+06
-7.3125000e+08 -8.9062500e+08 2.0007302e+04 3.3593283e+06 -2.8455866e-01 1.8773287e+06
-7.2187500e+08 -8.9062500e+08 2.0007486e+04 3.3959650e+06 -1.2681164e-01 1.9423235e+06
-7.1250000e+08 -8.9062500e+08 2.0007675e+04 3.4425196e+06 -9.3987773e-02 2.0230355e+06
-7.0312500e+08 -8.9062500e+08 2.0007870e+04 3.4876841e+06 -3.0405550e-01 2.1071703e+06
-6.9375000e+08 -8.9062500e+08 2.0008070e+04 3.5204084e+06 -2.7440863e-01 2.1754899e+06
-6.8437500e+08 -8.9062500e+08 2.0008276e+04 3.5556306e+06 -2.8285333e-01 2.2489050e+06
-6.7500000e+08 -8.9062500e+08 2.0008488e+04 3.6034483e+06 -1.1280495e-01 2.3428566e+06
-6.6562500e+08 -8.9062500e+08 2.0008705e+04 3.6430736e+06 -3.0538618e-01 2.4331380e+06
-6.5625000e+08 -8.9062500e+08 2.0008928e+04 3.6717831e+06 -3.4346141e-01 2.5016444e+06
-6.4687500e+08 -8.9062500e+08 2.0009156e+04 3.7090505e+06 -3.8791377e-01 2.5921714e+06
-6.3750000e+08 -8.9062500e+08 2.0009391e+04 3.7552540e+06 -3.9588454e-01 2.6998895e+06
-6.2812500e+08 -8.9062500e+08 2.0009631e+04 3.7828966e+06 -4.1057530e-01 2.7844235e+06
-6.1875000e+08 -8.9062500e+08 2.0009877e+04 3.8081039e+06 -4.6495171e-01 2.8632480e+06
-6.0937500e+08 -8.9062500e+08 2.0010129e+04 3.8523641e+06 -2.0155859e-01 2.9760260e+06
-6.0000000e+08 -8.9062500e+08 2.0010387e+04 3.8864024e+06 -4.3731570e-01 3.0870842e+06
-5.9062500e+08 -8.9062500e+08 2.0010651e+04 3.9047445e+06 -4.8055181e-01 3.1600098e+06
-5.8125000e+08 -8.9062500e+08 2.0010921e+04 3.9359770e+06 -4.9498740e-01 3.2708648e+06
-5.7187500e+08 -8.9062500e+08 2.0011197e+04 3.9765496e+06 -5.2919433e-01 3.4005749e+06
-5.6250000e+08 -8.9062500e+08 2.0011479e+04 3.9898718e+06 -5.4302497e-01 3.4823993e+06
-5.5312500e+08 -8.9062500e+08 2.0011766e+04 4.0061720e+06 -5.6892586e-01 3.5845583e+06
-5.4375000e+08 -8.9062500e+08 2.0012060e+04 4.0470325e+06 -5.9365892e-01 3.7273094e+06
-5.3437500e+08 -8.9062500e+08 2.0012359e+04 4.0551133e+06 -6.0257338e-01 3.8264324e+06
-5.2500000e+08 -8.9062500e+08 2.0012664e+04 4.0613120e+06 -5.7289631e-01 3.9172695e+06
-5.1562500e+08 -8.9062500e+08 2.0012974e+04 4.0995971e+06 -6.5436707e-01 4.0711913e+06
-5.0625000e+08 -8.9062500e+08 2.0013290e+04 4.1042396e+06 -7.8557243e-01 4.1858212e+06
-4.9687500e+08 -8.9062500e+08 2.0013611e+04 4.1018171e+06 -6.6540108e-01 4.2675306e+06
