# non-barotropic ceiling scan; floor=0.0203, barotropic ceiling=0.018, B_c=4.4140e+13
k0,alpha,rho_c,status,M_msun,M0_msun,mu_mean,mu_lo,mu_hi,over_floor,ledoux,mu_p01,mu_p99,f_bad,E_pol_over_W,E_mag_over_W,VE,tor_w,E_tor_over_W,bt_bp,f_core,rot_w,a_rot,T_over_W,shed,strict,beats_ceiling,B_over_Bc
1e-12,0.4,1000000000.0,gate,1.368997546066427,1.3463785171468987,2.0477587379849798,1.6962577185931105,2.1855455325081543,11.77035532995847,0.0,1.8312604043693983,2.336878689670388,0.17480101188796782,0.019961563768049195,0.029959672061750847,0.00029531690665425455,0.01,0.009998108293701652,0.4246896294870496,0.14120798646682525,0.04,0.5,0.03999243317480661,0.05795599987071178,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.3083186755669993,1.3463785171468987,2.2001540632366035,2.109565646109322,3.0459335578718503,20.965121891748307,1.0567644768514564,1.9288361354223527,2.3660539367953937,0.5140411741852686,0.02184184783926205,0.03184024995564671,0.0002551224599774226,0.01,0.009998402116384659,0.3584662890402115,0.13927195688178126,0.04,1.0,0.03999360846553865,0.21980376623684358,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.4809817371312626,1.3463785171468987,6576206.094475137,2.1612766604394684,46033414.75540574,344.82736097935924,2.544561993731234e-07,1.95376880720698,17.448852193215252,0.38359958022184576,0.02163632164900414,0.031734677570695334,0.031566992694717855,0.01,0.010098355921691195,0.28851709119879243,0.046400764596618765,0.04,2.0,0.040393423686764775,0.29067891258686196,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.5910833526887003,1.3463785171468987,1.9041072762162508,1.5359121769908513,2.1123019074315574,14.9117558317159,0.007125694678957028,1.6361205904675569,2.1575883882049505,0.12237542260890309,0.01578494402515674,0.025782313435187415,0.00024000818745826356,0.01,0.009997369410030677,0.4330585899934204,0.13743312054424262,0.06,0.5,0.05998421646018407,0.07022798464744012,False,False,0.5548529983234264
1e-12,0.4,1000000000.0,runaway,,,,,,,,,,,,,,0.01,,,,0.06,1.0,,,,,
1e-12,0.4,1000000000.0,runaway,,,,,,,,,,,,,,0.01,,,,0.06,2.0,,,,,
1e-12,0.4,1000000000.0,gate,1.8897168117122323,1.3463785171468987,1.7634692207385374,1.4009326805169042,2.0354297568448154,17.724161694822445,0.09704707037683122,1.4564302167114236,2.0451621968382576,0.33669030310411424,0.012027200137777553,0.022023620558071076,0.00018581955169469854,0.01,0.009996420420293523,0.45250415033366426,0.1261311413495058,0.08,0.5,0.07997136336234818,0.0693904929715572,False,False,0.5548529983234264
1e-12,0.4,1000000000.0,runaway,,,,,,,,,,,,,,0.01,,,,0.08,1.0,,,,,
1e-12,0.4,1000000000.0,runaway,,,,,,,,,,,,,,0.01,,,,0.08,2.0,,,,,
1e-12,0.4,3000000000.0,gate,1.0073034289545995,1.386779267460252,2.3322020619756065,2.214074378104601,2.5928814379993517,8.001213361601598,1.0,2.217963873865634,2.394451259272526,0.993843901738553,0.016934095922961193,0.016934095922961193,0.0006021157381681748,0.0,0.0,0.0,0.06757600404567232,0.0,0.5,0.0,0.0,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,gate,1.1468000922246926,1.386779267460252,2.216281707045853,2.018892808924201,2.3375940034962235,7.083741288467074,0.16157550127081588,2.084748797628638,2.3301769071475484,0.8690342330034913,0.01389738597459947,0.01389738597459947,0.0004940246780144131,0.0,0.0,0.0,0.06798625596988944,0.02,0.5,0.0199971623904111,0.03822093065989117,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,gate,1.1245320253778004,1.386779267460252,2.2469250362325464,2.108943561670002,2.3563941104080888,5.425050683615713,0.23631217310954616,2.11935436525129,2.3482665245583294,0.9417109992584919,0.0144485794795636,0.0144485794795636,0.0005128508109882632,0.0,0.0,0.0,0.0674421903299137,0.02,1.0,0.019997451753642814,0.13583870499207418,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,gate,3.002307882907696,1.386779267460252,976503.1586983525,1.7612578530404364,18552907.669882044,935.9275937976606,8.902716288062357e-06,2.1062897935674623,166.76443671587427,0.9508873787108867,0.011798531414438384,0.011798531414438384,0.17443715680626873,0.0,0.0,0.0,0.003477522091782492,0.02,2.0,0.016327379831909024,0.23775377900455996,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,gate,1.3224890759796277,1.386779267460252,2.0680426695395684,1.7263876422423843,2.2637517485998084,12.80009287724303,0.0,1.8848537369807135,2.2620462727904562,0.41862816785301293,0.011178155728839637,0.011178155728839637,0.00040325733563091403,0.0,0.0,0.0,0.06733335242843297,0.04,0.5,0.03999125030851191,0.06322501355608952,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,gate,1.2583034560684327,1.386779267460252,2.133434541069028,1.8639316021779986,2.3328302801698815,10.82688809958091,0.0,1.9743304581176944,2.3109450570471712,0.6920913647391954,0.012344202335915736,0.012344202335915736,0.00043323827126616883,0.0,0.0,0.0,0.0655711686774829,0.04,1.0,0.039992699248144914,0.09301094149814229,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,gate,1.401595845534679,1.386779267460252,3.1311321264003276,1.7555174220418668,25.89414716914928,379.7652138049164,0.031084677779806016,1.864517969941571,4.244564542014613,0.5506433926475021,0.012722340125208207,0.012722340125208207,0.0014455729625092524,0.0,0.0,0.0,0.06010062050396819,0.04,2.0,0.042838370207102336,0.30405217400263124,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,gate,1.550416059773264,1.386779267460252,1.9186131410753449,1.5271162433761012,2.185713368705947,16.909718509560292,0.006086356792750142,1.6637211356045853,2.1885135209711484,0.10450035618501892,0.008748445368082662,0.008748445368082662,0.0003375567991772831,0.0,0.0,0.0,0.0651824393977913,0.06,0.5,0.05998098437726567,0.07320748450654514,False,False,0.8117921831436476
1e-12,0.4,3000000000.0,runaway,,,,,,,,,,,,,,0.0,,,,0.06,1.0,,,,,
1e-12,0.4,3000000000.0,runaway,,,,,,,,,,,,,,0.0,,,,0.06,2.0,,,,,
