# non-barotropic ceiling scan; floor=0.0203, barotropic ceiling=0.018, B_c=4.4140e+13
k0,alpha,rho_c,status,M_msun,M0_msun,mu_mean,mu_lo,mu_hi,over_floor,ledoux,mu_p01,mu_p99,f_bad,E_pol_over_W,E_mag_over_W,VE,tor_w,E_tor_over_W,bt_bp,f_core,strict,beats_ceiling,B_over_Bc
1.3572088082974531e-12,0.7,3000000000.0,gate,1.3409380751176059,1.386779267460252,2.058474397648213,1.9949388615303696,2.3965759875769024,9.611525955056175,1.0,1.9786613277005174,2.0826962289106694,0.001463097570514851,0.017637087092412785,0.017637087092412785,0.0005986993200116931,0.0,0.0,0.0,0.0712482909763946,False,False,1.101771501469577
1.3572088082974531e-12,0.7,3000000000.0,gate,1.3218245083584745,1.386779267460252,2.0911742388531422,2.0337860312684475,2.434252326832631,9.433648978572265,1.0712773464798957,1.993109338450836,2.409818085722283,0.0629250760984631,0.018033302503834007,0.023032977031778017,0.0005995834504108847,0.005,0.004999674527944011,0.36975621145683735,0.0709036404021339,False,True,1.101771501469577
1.3572088082974531e-12,0.7,3000000000.0,gate,1.3032039602631271,1.386779267460252,2.137339087470131,2.0699281637876057,2.4736567187023324,9.305077640710461,1.4009375194141853,2.007732320034606,3.287860546557339,0.10700648945271185,0.018430714986016245,0.028430177041903173,0.0005989966567777512,0.01,0.00999946205588693,0.5172487769663592,0.07056862821673772,False,True,1.101771501469577
1.3572088082974531e-12,0.7,3000000000.0,gate,1.2295172701079247,1.386779267460252,2.28219587057662,2.1131690968463963,2.8273236702068174,15.414990754262968,1.7647935039875704,2.063925900605162,5.418721409328826,0.12457143081272005,0.02005955008415026,0.0400591435113666,0.023251074134422917,0.02,0.019999593427216338,0.7071298976195841,0.0702824757300002,False,True,1.101771501469577
1.3572088082974531e-12,0.8,1000000000.0,gate,1.5195317044153576,1.3463785171468987,1.95246792773398,1.8721566630154645,2.6362812088779224,19.27898671715577,1.0007533168702314,1.829968838461832,1.9994222812606133,0.1754209342877672,0.026828635690916407,0.026828635690916407,0.00044754468758227245,0.0,0.0,0.0,0.1313246150993856,False,True,0.7530513766348059
1.3572088082974531e-12,0.8,1000000000.0,gate,1.498503465453806,1.3463785171468987,1.980239459886434,1.919417649671102,2.6906136576552533,19.184523842587662,1.0195292081571479,1.8423515784392248,2.1905405278006245,0.12164206197701699,0.027430895300382955,0.03243044763883185,0.00044640679497833565,0.005,0.004999552338448894,0.3135945359704503,0.13062507091378775,False,True,0.7530513766348059
1.3572088082974531e-12,0.8,1000000000.0,gate,1.478011437478647,1.3463785171468987,2.0147095844586844,1.9380380994251318,2.74780413662749,19.799356135123787,1.0888386784312343,1.854801761370806,2.718337331202095,0.14138306481861604,0.028035433537825137,0.038034647755605576,0.0004458102467027074,0.01,0.009999214217780437,0.4399488062951746,0.12994494795860342,False,True,0.7530513766348059
1.3572088082974531e-12,0.8,1000000000.0,gate,1.4078071577335893,1.3463785171468987,2.1607511924786125,1.9676315483220854,2.758759283177086,18.036231906026945,2.0731302937426825,1.897518685005451,5.277543361356502,0.10549450297684661,0.03018610128428827,0.050185220091603075,0.017102019289854633,0.02,0.0199991188073148,0.608485479210583,0.1278080943093416,False,True,0.7530513766348059
1.3572088082974531e-12,0.8,3000000000.0,gate,1.4110251847285178,1.386779267460252,2.0093419372839425,1.9563787793712994,2.3311751377404306,9.188518118257896,1.0,1.9419657406798403,2.026591327745613,0.0012124430909150172,0.015847715789565307,0.015847715789565307,0.0006116644732851828,0.0,0.0,0.0,0.06208283624431886,False,False,1.101771501469577
1.3572088082974531e-12,0.8,3000000000.0,gate,1.3907961823177681,1.386779267460252,2.041948540402752,1.9963940558124171,2.3660680423650726,8.918217501161214,1.095459292836353,1.9564895059564618,2.37115545421182,0.04383616210966275,0.01620428760099858,0.021203995153081523,0.0006122587559634615,0.005,0.004999707552082942,0.3900673279389626,0.0617841648656688,False,False,1.101771501469577
1.3572088082974531e-12,0.8,3000000000.0,gate,1.3710898425904776,1.386779267460252,2.0887374879362315,2.024958409676763,2.403464607406698,8.926744318818356,1.4764145336404835,1.9713529632662896,3.3415766159374836,0.08760115746389237,0.016562286509339594,0.02656182205025493,0.0006100282149809482,0.01,0.009999535540915339,0.5502739804399615,0.06149326751624475,False,False,1.101771501469577
1.3572088082974531e-12,0.8,3000000000.0,gate,1.290713210229687,1.386779267460252,2.2362546370939382,2.059614314494714,2.873962872502484,17.93878561380168,2.0332739330323157,2.027415924813373,5.052410398543041,0.09934444415432446,0.01807403652615671,0.03807383418556393,0.024650131554809603,0.02,0.019999797659407223,0.7449625370757792,0.06119752218942713,False,True,1.101771501469577
1.3572088082974531e-12,0.9,1000000000.0,gate,1.5782899073226706,1.3463785171468987,1.9172068446932158,1.844417276338066,2.582864665379655,18.973810140877283,1.0007179595979974,1.8090939377533812,1.9592620865993966,0.8357727295019681,0.024719944350645357,0.024719944350645357,0.0004596698725105314,0.0,0.0,0.0,0.11600083468841649,False,True,0.7530513766348059
1.3572088082974531e-12,0.9,1000000000.0,gate,1.5562737905693984,1.3463785171468987,1.945130316786229,1.88963531997191,2.637255938734517,18.933745256891964,1.0227085577968351,1.8213346941772908,2.1644531042420803,0.4508757004434402,0.025276388096753345,0.03027596900661292,0.0004587863823626633,0.005,0.004999580909859574,0.32668727002485465,0.11538836418348793,False,True,0.7530513766348059
1.3572088082974531e-12,0.9,1000000000.0,gate,1.5348804089983,1.3463785171468987,1.9703606868073926,1.9009844380604068,2.5306647514286196,15.742668261890968,1.120518945981735,1.8333976103299745,2.7392049083554926,0.3556392472754701,0.025833917297084612,0.03583319134201965,0.0004574068584642164,0.01,0.009999274044935037,0.4609640195353035,0.1147884607012041,False,True,0.7530513766348059
