  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  2.357141013578495092E-01  2.686191591080964069E+33 -2.055173893344869597E+25 -7.253554917687775048E+24 -2.508521075700355538E+25  1.775646531704198728E+51  2.489235255215216252E+47  1.775397608178673727E+51
  2.452969367324482342E-01  2.686191728166090485E+33  3.112983985507670125E+25 -1.511157274518286468E+24 -9.973638011820690691E+24  1.773437133908243943E+51  2.529712004598390717E+47  1.773184162707769768E+51
  2.548839092110127269E-01  2.686191865247141323E+33 -2.357405348248526891E+25 -4.503248678064493676E+25 -8.553150173773501411E+25  1.771210282441875256E+51  2.569754972488926136E+47  1.770953306944621214E+51
  2.644750629908839690E-01  2.686192002325719144E+33 -9.369175102013376104E+24 -3.324546003940230230E+25 -3.112983985507670125E+25  1.768966497526259984E+51  2.609462131303297561E+47  1.768705551313170900E+51
  2.740704434850508853E-01  2.686192139403612130E+33  1.843611874912309491E+25 -2.327182202758161161E+25 -2.599190512171452726E+25  1.766706255358265054E+51  2.648895707330361437E+47  1.766441365787550417E+51
  2.836700969770296066E-01  2.686192276482598085E+33  2.659636803152184184E+25 -2.629413657661818455E+25 -2.931645112565475749E+25  1.764430003160319316E+51  2.688091200009845019E+47  1.764161194040320428E+51
  2.932740702103517894E-01  2.686192413564266313E+33 -5.379719897285099827E+25 -6.286414261996071708E+25 -5.772620788659854309E+25  1.762138169796528197E+51  2.727064658443425177E+47  1.761865463330702731E+51
  3.028824097334514298E-01  2.686192550650436698E+33  1.692496147460480845E+25 -3.052537694526938666E+25 -1.511157274518286468E+25  1.759831173282258264E+51  2.765820620916536194E+47  1.759554591220125885E+51
  3.124951612813435808E-01  2.686192687742587864E+33  1.783165583931578033E+25  7.858017827495089636E+24 -2.840975676094378561E+25  1.757509426380224294E+51  2.804353429321043392E+47  1.757228991037265026E+51
  3.221123694549380412E-01  2.686192824842573132E+33 -4.291686659631933570E+25 -6.377083698467168897E+25 -1.278439054242470352E+26  1.755173339480026795E+51  2.842651946893804353E+47  1.754889074285278423E+51
  3.317340777232516413E-01  2.686192961951908017E+33  3.626777458843887524E+24 -1.148479528633897716E+25 -3.596554313353521795E+25  1.752823321269654389E+51  2.880712783815933567E+47  1.752535249991286286E+51
  3.413603285851694591E-01  2.686193099071931060E+33 -7.978910409456552553E+25 -7.314001208668506507E+25 -4.533471823554859405E+25  1.750459779692831368E+51  2.918500946235647001E+47  1.750167929598211589E+51
  3.509911636942716351E-01  2.686193236204323799E+33 -2.961868258055841478E+25 -5.621505061208025662E+25 -2.115620184325601056E+25  1.748083123264750039E+51  2.955985903170121454E+47  1.747787524674436157E+51
  3.606266238445868799E-01  2.686193373350450714E+33 -3.143207130998035854E+25 -7.586009518081798071E+25 -1.979616029618955274E+26  1.745693759927110281E+51  2.993137178583940585E+47  1.745394446209292882E+51
  3.702667488175989119E-01  2.686193510511809452E+33 -4.986819005910345346E+25 -5.198381024342905451E+25 -5.017042151400711075E+25  1.743292096306366790E+51  3.029913193245856866E+47  1.742989104987005471E+51
  3.799115771403435704E-01  2.686193647689717802E+33 -4.140570932180104923E+25 -4.563694969045225135E+25 -1.069899350358946820E+26  1.740878536098462518E+51  3.066289551802443005E+47  1.740571907143320844E+51
  3.895611459242294128E-01  2.686193784885404778E+33 -2.599190512171452726E+25 -3.566331167863156065E+25 -8.704265901225330058E+25  1.738453478942574790E+51  3.102211879308387417E+47  1.738143257754656673E+51
  3.992154908552953962E-01  2.686193922100268298E+33 -9.973638011820690691E+24 -4.291686659631933570E+25 -7.283778063178140778E+25  1.736017321600147181E+51  3.137642927175715917E+47  1.735703557307433230E+51
  4.088746462734747511E-01  2.686194059335393836E+33  2.840975676094378561E+25  9.369175102013376104E+24 -2.961868258055841478E+25  1.733570456734844643E+51  3.172546869701290836E+47  1.733253202047897947E+51
  4.185386454568271741E-01  2.686194196592051336E+33 -3.445438585901693148E+25 -5.742397643169488580E+25 -7.434893790629969424E+25  1.731113272325498624E+51  3.206875780294591369E+47  1.730792584747405837E+51
  4.282075210663208731E-01  2.686194333871436955E+33 -7.253554917687775048E+24  3.445438585901693148E+25  8.674042755734964329E+25  1.728646152661111993E+51  3.240579399391158846E+47  1.728322094721216110E+51
  4.378813052180196008E-01  2.686194471174556615E+33 -1.118256383143531987E+25  2.780529385113647102E+25  1.054787777613763955E+26  1.726169478986616934E+51  3.273622168205966671E+47  1.725842116769836845E+51
  4.475600296219288676E-01  2.686194608502740790E+33  4.231240368651202111E+24 -3.324546003940230230E+24  3.022314549036572937E+23  1.723683628545539692E+51  3.305981003771467531E+47  1.723353030445142255E+51
  4.572437257230978491E-01  2.686194745856723888E+33 -3.626777458843887524E+24 -7.555786372591432342E+24  1.239148965104994904E+25  1.721188975156059072E+51  3.337638078216477495E+47  1.720855211348209312E+51
  4.669324247950081830E-01  2.686194883237818512E+33  3.173430276488401584E+25  9.671406556917033398E+24  8.462480737302404223E+24  1.718685889323220535E+51  3.368565021025598427E+47  1.718349032821126897E+51
  4.766261579778600654E-01  2.686195020647028857E+33 -1.148479528633897716E+25 -4.170794077670470653E+25 -6.014405952582780144E+25  1.716174737703786349E+51  3.398759273019387565E+47  1.715834861776468534E+51
  4.863249562805557757E-01  2.686195158085408692E+33  1.662273001970115115E+25 -5.137934733362173993E+24 -2.206289620796698244E+25  1.713655883577041825E+51  3.428218347987877525E+47  1.713313061742206463E+51
  4.960288505684679050E-01  2.686195295554204902E+33 -6.618868862390094732E+25 -2.689859948642549914E+25  9.369175102013376104E+24  1.711129686975784430E+51  3.456933774472761463E+47  1.710783993598273095E+51
  5.057378715460949525E-01  2.686195433054045253E+33 -7.102439190235946401E+25 -1.632049856479749386E+25 -4.473025532574127946E+25  1.708596509120821112E+51  3.484874186841151653E+47  1.708248021702136763E+51
  5.154520497293998416E-01  2.686195570586185276E+33 -1.420487838047189280E+25  3.898785768257179088E+25  2.780529385113647102E+25  1.706056711996421524E+51  3.512027063770516854E+47  1.705705509290086240E+51
  5.251714153930073792E-01  2.686195708151704683E+33 -4.835703278458516699E+24  3.989455204728276277E+25 -3.989455204728276277E+25  1.703510655516510604E+51  3.538402307372863861E+47  1.703156815285744692E+51
  5.348959984922938560E-01  2.686195845751416860E+33  9.973638011820690691E+24  5.530835624736928474E+25  5.289050460814002639E+25  1.700958696604597892E+51  3.563993352670830144E+47  1.700602297269345026E+51
  5.446258286007887861E-01  2.686195983386343294E+33 -9.369175102013376104E+24  1.662273001970115115E+25 -4.896149569439248158E+25  1.698401189199065201E+51  3.588822764190869012E+47  1.698042306922631044E+51
  5.543609348197789943E-01  2.686196121057438029E+33 -1.752942438441212303E+25  2.599190512171452726E+25 -9.066943647109718810E+24  1.695838485770896087E+51  3.612878849078259649E+47  1.695477197885991579E+51
  5.641013456757250077E-01  2.686196258765616484E+33 -3.898785768257179088E+25  2.176066475306332514E+25  4.775256987477785240E+25  1.693270939564532272E+51  3.636136349349360722E+47  1.692907325929591958E+51
  5.738470890200217944E-01  2.686196396511735856E+33 -1.692496147460480845E+25  2.387628493738892620E+25 -2.417851639229258349E+25  1.690698903488205534E+51  3.658591773726843095E+47  1.690333044310848828E+51
  5.835981920218706875E-01  2.686196534296904104E+33 -1.057810092162800528E+25  1.843611874912309491E+25  2.931645112565475749E+25  1.688122726749193425E+51  3.680266461755246224E+47  1.687754700103012381E+51
  5.933546811651685404E-01  2.686196672121764556E+33 -6.044629098073145874E+24  7.797571536514358177E+25  2.659636803152184184E+25  1.685542753439234576E+51  3.701176263273716514E+47  1.685172635812962103E+51
  6.031165822511268537E-01  2.686196809987194010E+33 -4.805480132968150969E+25 -3.324546003940230230E+24  1.873835020402675221E+25  1.682959324240588499E+51  3.721307945875007068E+47  1.682587193445992630E+51
  6.128839203993282636E-01  2.686196947894006429E+33 -5.863290225130951497E+25 -2.236512766287063973E+25 -1.030609261221471371E+26  1.680372775962846494E+51  3.740663287093512200E+47  1.679998709634099768E+51
  6.226567200457590046E-01  2.686197085842899906E+33 -9.248282520051913187E+25 -8.371811300831307035E+25 -1.066877035809910247E+26  1.677783441711990837E+51  3.759265483885501600E+47  1.677407515163628688E+51
  6.324350049417470920E-01  2.686197223834754698E+33 -4.805480132968150969E+25 -1.239148965104994904E+25 -5.168157878852539722E+25  1.675191649396024497E+51  3.777104668925948204E+47  1.674813938929122084E+51
  6.422187981572547999E-01  2.686197361870294261E+33 -6.346860552976803167E+24  2.992091403546207207E+25 -9.973638011820690691E+24  1.672597722048916622E+51  3.794208211651930087E+47  1.672218301227816540E+51
  6.520081220871390970E-01  2.686197499950101399E+33 -1.057810092162800528E+25  5.440166188265831286E+25  3.233876567469133042E+25  1.670001976796143484E+51  3.810600013641394095E+47  1.669620916794738594E+51
  6.618029984593106763E-01  2.686197638074999873E+33 -6.800207735332289108E+25  9.973638011820690691E+24  4.654364405516322323E+25  1.667404724810445124E+51  3.826278847731871418E+47  1.667022096925647674E+51
  6.716034483441706282E-01  2.686197776245640508E+33 -4.896149569439248158E+25  1.480934129027920739E+25 -1.027586946672434799E+25  1.664806273467720175E+51  3.841236900308595338E+47  1.664422149777666923E+51
  6.814094921661345561E-01  2.686197914462569788E+33 -6.769984589841923378E+25 -2.750306239623281372E+25 -7.253554917687775048E+25  1.662206926890108544E+51  3.855473704600622230E+47  1.661821379519595808E+51
  6.912211497225256851E-01  2.686198052726608594E+33 -4.261463514141567841E+25  1.571603565499017927E+25 -6.407306843957534626E+25  1.659606985032734022E+51  3.868994130783391962E+47  1.659220085619657583E+51
  7.010384401715190616E-01  2.686198191038118366E+33 -4.049901495709007735E+25 -1.904058165893040950E+25 -1.813388729421943762E+25  1.657006742675840747E+51  3.881793729426469169E+47  1.656618563302907916E+51
  7.108613820824152274E-01  2.686198329397808152E+33 -4.865926423948882428E+25 -8.462480737302404223E+24 -4.503248678064493676E+25  1.654406489259849304E+51  3.893887919149753379E+47  1.654017100467915419E+51
  7.206899935170762994E-01  2.686198467806251529E+33 -7.283778063178140778E+25  9.066943647109718810E+24  5.168157878852539722E+25  1.651806507696822859E+51  3.905298500449998860E+47  1.651415977846782762E+51
  7.305242920112045013E-01  2.686198606263949443E+33 -9.127389938090450269E+25 -3.657000604334253253E+25 -1.904058165893040950E+25  1.649207073161446901E+51  3.916042257161245671E+47  1.648815468935724079E+51
  7.403642944680226545E-01  2.686198744771451259E+33 -1.360041547066457822E+25 -2.115620184325601056E+24 -2.720083094132915643E+24  1.646608455793615933E+51  3.926138815418340464E+47  1.646215841912069281E+51
  7.502100170616234909E-01  2.686198883329267147E+33 -4.896149569439248158E+25  3.112983985507670125E+25  6.618868862390094732E+25  1.644010920160918267E+51  3.935575653225156138E+47  1.643617362595556398E+51
