# 1D hydrostatic white dwarf, ztwd structure, isothermal T
# rho_c=9.8839384950e+08 R=2.4562141156e+08 M_msun=1.3461439553 t_dyn=0.2879669941 T_iso=1.0000000000e+07
# r density temperature
1.2977265870e+08 7.0867884390e+07 1.0000000000e+07
1.3018726783e+08 6.9930467346e+07 1.0000000000e+07
1.3060187697e+08 6.9004168567e+07 1.0000000000e+07
1.3101648610e+08 6.8088872307e+07 1.0000000000e+07
1.3143109523e+08 6.7184463685e+07 1.0000000000e+07
1.3184570437e+08 6.6290828683e+07 1.0000000000e+07
1.3226031350e+08 6.5407854153e+07 1.0000000000e+07
1.3267492263e+08 6.4535427815e+07 1.0000000000e+07
1.3308953176e+08 6.3673438260e+07 1.0000000000e+07
1.3350414090e+08 6.2821774954e+07 1.0000000000e+07
1.3391875003e+08 6.1980328235e+07 1.0000000000e+07
1.3433335916e+08 6.1148989315e+07 1.0000000000e+07
1.3474796830e+08 6.0327650283e+07 1.0000000000e+07
1.3516257743e+08 5.9516204101e+07 1.0000000000e+07
1.3557718656e+08 5.8714544610e+07 1.0000000000e+07
1.3599179570e+08 5.7922566523e+07 1.0000000000e+07
1.3640640483e+08 5.7140165430e+07 1.0000000000e+07
1.3682101396e+08 5.6367237794e+07 1.0000000000e+07
1.3723562310e+08 5.5603680954e+07 1.0000000000e+07
1.3765023223e+08 5.4849393119e+07 1.0000000000e+07
1.3806484136e+08 5.4104273372e+07 1.0000000000e+07
1.3847945050e+08 5.3368221665e+07 1.0000000000e+07
1.3889405963e+08 5.2641138817e+07 1.0000000000e+07
1.3930866876e+08 5.1922926517e+07 1.0000000000e+07
1.3972327790e+08 5.1213487316e+07 1.0000000000e+07
1.4013788703e+08 5.0512724628e+07 1.0000000000e+07
1.4055249616e+08 4.9820542731e+07 1.0000000000e+07
1.4096710530e+08 4.9136846755e+07 1.0000000000e+07
1.4138171443e+08 4.8461542692e+07 1.0000000000e+07
1.4179632356e+08 4.7794537383e+07 1.0000000000e+07
1.4221093270e+08 4.7135738519e+07 1.0000000000e+07
1.4262554183e+08 4.6485054639e+07 1.0000000000e+07
1.4304015096e+08 4.5842395126e+07 1.0000000000e+07
1.4345476010e+08 4.5207670204e+07 1.0000000000e+07
1.4386936923e+08 4.4580790931e+07 1.0000000000e+07
1.4428397836e+08 4.3961669204e+07 1.0000000000e+07
1.4469858750e+08 4.3350217747e+07 1.0000000000e+07
